index,Price
0,1638626.9058990479
1,164728.15005493164
2,1229288.5621948242
3,627745.6490783691
4,768016.711265564
5,1282815.790840149
6,96659.07469940186
7,1528804.5840835571
8,1018463.8344268799
9,1488213.346321106
10,1813065.0970535278
11,964759.1303253174
12,756417.9856491089
13,739157.6883621216
14,502207.1456756592
15,864508.6385803223
16,438990.45082092285
17,817157.2861709595
18,2125085.025215149
19,370903.26737976074
20,959273.6737823486
21,1030298.0961990356
22,1104385.8704299927
23,1509948.7489776611
24,1476495.2783050537
25,1142887.2849655151
26,904936.3514709473
27,844959.5030517578
28,994458.4970474243
29,1127568.762336731
30,469200.31423950195
31,1614886.523551941
32,17256.498390197754
33,240827.72645568848
34,704545.0700378418
35,507853.34271240234
36,1873870.869567871
37,738589.6839675903
38,1156524.7728500366
39,755442.1204299927
40,1273467.8870010376
41,1489753.788093567
42,1323445.0228347778
43,104589.30718231201
44,1093387.9728240967
45,1210838.058441162
46,1166007.565284729
47,880362.6161804199
48,489546.3623275757
49,963734.0254592896
50,752181.158126831
51,1957927.3037719727
52,775783.7957229614
53,567106.760635376
54,1910047.0391159058
55,595850.0043258667
56,1063144.7463302612
57,1497656.7584762573
58,1327961.5346221924
59,1351745.1622543335
60,555760.3796157837
61,1460029.4880828857
62,1062458.769104004
63,1402226.7009277344
64,1998802.598060608
65,1285542.499130249
66,1415030.6890335083
67,897144.8760986328
68,1119488.569656372
69,1039007.0981826782
70,1061280.9947891235
71,1868967.8135910034
72,1649497.4708328247
73,1896623.566116333
74,1479125.2520370483
75,1761382.2187652588
76,1154934.4278411865
77,1074025.9110946655
78,921161.6687011719
79,2287197.6392974854
80,920241.4879684448
81,1199252.551902771
82,351046.32318878174
83,1703692.647315979
84,1061673.3941497803
85,967859.3408966064
86,1140744.2571411133
87,1858711.0977554321
88,204399.4592437744
89,-43172.12535095215
90,606517.2189407349
91,1664514.9956588745
92,989611.1018218994
93,1730204.7560806274
94,1468815.0342636108
95,1892095.2593536377
96,331776.79134368896
97,2342763.308113098
98,1854153.8278808594
99,1321907.7805862427
100,185436.77220916748
101,1519220.2917022705
102,1796862.4384994507
103,1304009.296081543
104,343042.4284515381
105,965381.5595397949
106,1714465.813835144
107,1446989.034690857
108,518636.3120498657
109,1427123.0237121582
110,1823223.8208084106
111,1428388.4955062866
112,702707.2390289307
113,1585237.2039108276
114,2132711.6417770386
115,150111.38353729248
116,1460537.4667510986
117,2263167.67918396
118,1375764.7505722046
119,1302866.9254074097
120,1699550.0355300903
121,447155.1842880249
122,1518128.0966415405
123,1136316.9650878906
124,834856.461982727
125,1261210.5664749146
126,2049685.363204956
127,819868.583984375
128,1096648.0968322754
129,924995.7734527588
130,331636.1100997925
131,1086173.0084609985
132,936636.4014053345
133,2206001.180984497
134,1399779.1344833374
135,1397568.9223098755
136,1268752.1202850342
137,898379.0607223511
138,1097627.3392333984
139,734685.3456497192
140,1621792.9245300293
141,995929.8732757568
142,878249.4067077637
143,1091322.9760360718
144,1261530.6293945312
145,1705889.0984802246
146,1581670.7219696045
147,466512.36154174805
148,1475391.4080429077
149,1400930.9041061401
150,303856.1155166626
151,994654.9787216187
152,662425.5993118286
153,914671.0774765015
154,1033083.0042419434
155,1702524.0074996948
156,1739917.7330627441
157,1660005.2028198242
158,601842.7952194214
159,1276214.1137924194
160,986741.3682632446
161,1924282.0357131958
162,1590485.0454864502
163,680486.6256256104
164,1264138.3916854858
165,1936743.2688980103
166,1338882.6035766602
167,961210.154624939
168,322337.4060897827
169,880368.317237854
170,1406626.8205032349
171,906027.7632904053
172,817821.0049285889
173,866159.1808547974
174,207250.8074645996
175,1358702.6636886597
176,395092.9114379883
177,773153.9254837036
178,1470028.48361969
179,860756.7952270508
180,1685267.9968795776
181,785263.8323745728
182,798814.6486129761
183,987221.8553161621
184,1553599.5403289795
185,1299264.9109954834
186,1999190.3260498047
187,1185316.2069473267
188,535301.8877182007
189,1040195.9746017456
190,875475.9946975708
191,730565.8166427612
192,1019541.5631637573
193,1473178.3478622437
194,795426.0119400024
195,1361986.9223327637
196,1446724.993133545
197,714424.5036315918
198,930264.3303604126
199,947201.7140731812
200,935299.1530303955
201,1123287.2290802002
202,836867.8322753906
203,1216450.2516174316
204,1411848.7254333496
205,2390344.171485901
206,419340.3079223633
207,1802678.3468780518
208,1097178.819618225
209,1390965.06300354
210,979077.1840057373
211,628617.7796936035
212,1910552.058708191
213,1336157.1979751587
214,293203.1745376587
215,706947.5686721802
216,1206551.6184921265
217,1099744.4257659912
218,1575287.1445236206
219,790706.0829696655
220,1043938.993927002
221,1372193.773399353
222,1888695.1316986084
223,1741917.3162765503
224,847676.6042404175
225,1245104.9270019531
226,1487606.5187225342
227,1045346.0312194824
228,1029618.4282150269
229,162455.52433776855
230,424080.5218658447
231,898945.4545440674
232,952861.0998535156
233,1984021.5582427979
234,770054.0916137695
235,1478790.9642410278
236,520292.98306274414
237,885117.7221450806
238,2057234.1531524658
239,1911031.9296875
240,1256298.1770477295
241,876173.9941711426
242,1588471.4336013794
243,1486742.8514556885
244,1830658.2464675903
245,14384.343292236328
246,722985.4128189087
247,1340987.3745651245
248,1152216.834449768
249,1762814.9041290283
250,365320.478225708
251,590758.3597869873
252,1159510.3389282227
253,792154.2294387817
254,1313925.6274719238
255,925400.234664917
256,1273164.4678497314
257,1460534.1811523438
258,1311572.327758789
259,911834.3204650879
260,667804.2682495117
261,986415.6967926025
262,1625010.743675232
263,1153411.0982131958
264,1607272.5680770874
265,1826505.898574829
266,1311310.2159957886
267,1288733.7677688599
268,905391.8180236816
269,1073004.7640075684
270,1008447.2534484863
271,1389673.046585083
272,984922.6411437988
273,1878757.9945602417
274,504328.10611724854
275,1042760.5687255859
276,609337.0372390747
277,640381.8426132202
278,832799.6097564697
279,1601739.6018981934
280,990569.0978546143
281,76621.00550079346
282,1047788.7569503784
283,878683.1748123169
284,817524.6812210083
285,1604777.061264038
286,928889.1852035522
287,1318136.2675704956
288,1369199.750694275
289,876272.0524597168
290,1593490.6556472778
291,2084671.0498809814
292,1121778.7852783203
293,2121633.0727233887
294,1625859.5835494995
295,1538943.6006469727
296,254424.62045288086
297,363603.26320648193
298,691453.1569061279
299,903658.0686416626
300,952360.7592926025
301,1016708.9455184937
302,1872284.9148788452
303,744927.4398651123
304,2046749.0845336914
305,460021.6750946045
306,1078451.2447509766
307,983191.59425354
308,631905.5137634277
309,659932.0946121216
310,628228.4323043823
311,945600.351524353
312,778967.7577590942
313,2178121.1259613037
314,990735.3297119141
315,1074220.3956298828
316,920909.640625
317,1560568.967453003
318,1001615.4522628784
319,363261.4517211914
320,1025355.5918655396
321,909425.9936981201
322,995126.8988647461
323,845586.2579956055
324,1359684.325881958
325,970776.6054000854
326,739766.5282669067
327,1543771.872932434
328,2318890.915336609
329,722460.738067627
330,667308.6388626099
331,1226644.0068359375
332,981410.9396209717
333,1577413.8134994507
334,452722.9100570679
335,323346.6629638672
336,1019396.9533081055
337,1340423.2269592285
338,593504.3384399414
339,1046871.715637207
340,1397648.0603256226
341,900292.3049163818
342,855895.7079925537
343,1372398.3502044678
344,1320289.3613204956
345,895321.2969436646
346,1809591.7975082397
347,1003327.4736404419
348,739785.5478591919
349,401198.11389160156
350,1440091.450515747
351,1309451.6905593872
352,1058664.1588058472
353,1238329.1351394653
354,1121651.3766937256
355,342666.8591003418
356,606813.5092468262
357,1364170.5684127808
358,993793.2091445923
359,1047062.2232589722
360,382258.60414123535
361,701610.068572998
362,1270887.7854919434
363,1021531.3923721313
364,604885.6527786255
365,549671.0897445679
366,441787.29109954834
367,828298.0627212524
368,1289452.6557312012
369,596760.526260376
370,996356.6084899902
371,1310246.4687652588
372,1683738.0974655151
373,1197514.466117859
374,1509095.1110458374
375,1291367.3804092407
376,2112496.5972595215
377,503935.7688140869
378,864803.1465301514
379,481956.7059249878
380,195034.89168548584
381,1400815.2841796875
382,1239360.2179870605
383,591650.5210800171
384,947798.6912841797
385,816016.8834533691
386,661440.303314209
387,1306523.965675354
388,891447.0372467041
389,789338.2795562744
390,1040964.4717102051
391,254417.14976501465
392,1554259.8590774536
393,1039659.0729217529
394,1436255.4799728394
395,1659692.5812606812
396,1575277.2234573364
397,800868.6446685791
398,974306.9664840698
399,468944.98024749756
400,741779.3050079346
401,2257142.2004623413
402,941310.2517929077
403,742068.5435791016
404,704717.0543670654
405,1092972.423789978
406,1292250.482208252
407,1661912.0733261108
408,433586.5541000366
409,628755.3316192627
410,1172954.4769592285
411,1804891.6847610474
412,808579.8368225098
413,872429.9491271973
414,1958937.593383789
415,582963.1845092773
416,1123632.150314331
417,1021041.6819610596
418,1176459.381111145
419,1000220.3916168213
420,694778.8641738892
421,1129156.0526046753
